ResponseID,ResponseSet,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,Score-sum,Score-weightedAvg,Score-weightedStdDev,Condition,Q3,Q4,Q6,Q7,Q8,Q9,Q10,Q11,Q12,State Born?,Grow Up?,years in home state,Q15,Q111,Q114,Q115,Q116,Q117,Q118,Q119,Q120,Q121,Q122,Q123,Q194,Q195,Q196,Q197,Q198,Q199,Q200,Q201,Q202,Q203,Q204,Q205,Q206,Q207,Q208,Q209,Critical Question_2,RandStateIns,Random State_2(102),Random State_2(103),Random State_2(104),Random State_2(105),Random State_2(106),Random State_2(107),Random State_2(108),Random State_2(109),Random State_2(110),Random State_2(111),Random State_2(112),Random State_2(113),Random State_2(114),Random State_2(115),Random State_2(116),Random State_2(117),Random State_2(118),Random State_2(119),Random State_2(120),Random State_2(121),Random State_2(122),Random State_2(123),Random State_2(124),Random State_2(125),Random State_2(126),Random State_2(127),Random State_2(128),Random State_2(129),Random State_2(130),Random State_2(131),Random State_2(132),Random State_2(133),Random State_2(134),Random State_2(135),Random State_2(136),Random State_2(137),Random State_2(138),Random State_2(139),Random State_2(140),Random State_2(141),Random State_2(142),Random State_2(143),Random State_2(144),Random State_2(145),Random State_2(146),Random State_2(147),Random State_2(148),Random State_2(149),Random State_2(150),Random State_2(151),Q214,Q215,Q216,Q141_1,Q141_2,Q141_3,Q217,Q218,100% Question_1,100% Question_2,100% Question_3,100% Question_4,100% Question_5,Q157,Q83,Q124_1,Q124_2,Q124_3,Q124_4,Q124_5,Q124_6,Q124_7,Q124_8,Q124_9,Q124_10,Q124_11,Q124_12,Q124_13,Q124_14,Q124_15,Q124_16,Q124_17,Q124_18,Q124_19,Q124_20,Q124_21,Q124_22,Q124_23,Q124_24,Q124_25,Q124_26,Q124_27,Q124_28,Q124_29,Q124_30,Q124_31,Q124_32,Q124_33,Q124_34,Q124_35,Q124_36,Q124_37,Q124_38,Q124_39,Q124_40,Q124_41,Q124_42,Q124_43,Q124_44,Q124_45,Q124_46,Q124_47,Q124_48,Q124_49,Q124_50,Q124_51,Q124_52,Q84,Q85,Q92,Q87,Q127,Last Page
R_3e8ImzeYdX6JmQk,Default Response Set,1/11/17 14:16,1/11/17 14:24,,,,,1,0,7,1,0,P,1,Yes,1,1,23,Female,United States,High school diploma,Yes,Missouri,Oregon,16 to 20,Missouri,1,World war 1 and World war 2,Declaration of independance,george bush becoming president,civil war,fighting racism by martin luthor king,moon landing,mark twain,eagle being the country emblem,,,1,France,Tea Act,The Bill of Rights,John Tyler,Theodore Roosevelt,Spain,Plessy v. Ferguson,1861-1865,1919,18th,1930,Italy,Communism,1969,Iran,19,1,,,9,,25,,,82,,,,,34,,,,,,,,29,,,,,,,,,,16,,28,,,,,51,,,,,,,25,,,,,20,Delaware,Washington,Colorado,56,15,6,Idaho,California,20,10,10,10,50,Delaware,1,,,,,,,,,,,,,,,,,,,,,,,,,,Missouri,,,,,,,,,,,,Oregon,,,,,,,,,,,,,,,No,,Very Difficult,,1,1
R_d0eLTaZwjjfm7HH,Default Response Set,1/11/17 14:23,1/11/17 14:33,,,,,1,0,12,1,0,P,1,Yes,1,1,54,Male,American,High school diploma,Yes,Florida,Florida,More than 20,Florida,1,Christopher Columbus sails to Amerigo,revolutionary war,civil war,Reconstsruction,WWI,WWII,Technological age,Carter Era,Reagan Era,Clinton Era,1,France,Howe Tariffs,The Bill of Rights,Alexander Hamilton,Theodore Roosevelt,France,Plessy v. Ferguson,1861-1865,1914,19th,1930,Russia,Communism,1969,Iran,1,1,,0,,0,,,,4,,,,1,,,,,,,,1,,0,,,,,,,,,,,1,,,,,,,,1,2,,,7,,,,,,New York,California,Ohio,25,25,25,Alabama,New York,1,35,25,25,14,Georgia,1,,,,,,,,,,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Easy,,1,1
R_2CTweuXNG3IXlSK,Default Response Set,1/11/17 14:23,1/11/17 14:33,,,,,1,0,12,1,0,P,1,Yes,1,1,45,Female,American,High school diploma,Yes,Florida,Florida,More than 20,Florida,1,Pilgrims land on Plymouth Rock,The first colonies are founded,Boston Tea Party,Revolutionary War,Constitution established,Bill of Rights established,Civil War,World War one,World War Two,Vietnam War,1,France,Townshend Tariffs,The Bill of Rights,Alexander Hamilton,Theodore Roosevelt,France,Dred Scott v. Sanford,1861-1865,1914,21st,1929,Russia,Communism,1969,Iran,0,1,,1,,,,1,6,,,,0,,,,,,1,,,,,,,,,,,,,,,,,,25,,,25,1,,0,,,,,,,,0,,New York,California,Illinois,35,25,25,Kentucky,California,1,30,25,25,19,Arizona,1,,,,,,,,,,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Easy,,1,1
R_11bc02ynPZs1dDf,Default Response Set,1/11/17 14:20,1/11/17 14:35,,,,,1,0,12,1,0,NP,1,Yes,1,1,23,Female,USA,Bachelor's Degree,Yes,Illinois,Illinois,More than 20,Ohio,1,Civil War,Revolutionary War,11-Sep,Louisiana Purchase,Vietnam War,The Great Depression,The Financial Crisis of 2008,The Moon Landing,Pearl Harbor,Declaration of Independence,1,France,Howe Tariffs,The Bill of Rights,Alexander Hamilton,William Taft,France,Dred Scott v. Sanford,1861-1865,1917,20th,1929,Russia,Totalitarianism,1969,Iran,8,1,,,,,15,1,,,,,,,,3,,,,,,,,3,3,,,,,1,,,2,,,,,8,,,,,,,,,,,,6,,1,Virginia,Pennsylvania,Maryland,57,52,36,Iowa,California,5,35,15,10,35,Texas,1,,,,,,,,,,,,,,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Somewhat Difficult,,1,1
R_1GNYrYrxddgpv3A,Default Response Set,1/11/17 14:26,1/11/17 14:39,,,,,1,0,7,1,0,P,1,Yes,1,1,28,Female,US,Associate's Degree,Yes,Florida,Florida,More than 20,Florida,1,Pearl Harbour,Boston Tea Party,Civil war,11-Sep,Columbine School Shooting,water crisis in California,Fires of 1998,abolishment of slavery,oregon trail/ trail of tears,"gold rush in the ""west""",1,France,Stamp Act,The Bill of Rights,William Henry Harrison,Warren G. Harding,France,Marbury v. Madison,1861-1865,1919,21st,1929,Italy,Totalitarianism,1969,Iran,3,1,,,2,,,,,,,,,2,,,,,,,,,,4,,9,,,2,,4,,6,,,,,1,,8,,13,,,,,,,,,,,Maryland,Michigan,Vermont,17,11,3,Oregon,Delaware,2,4,4,3,87,Massachusetts,1,,,,,,,,,,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Neutral,,1,1
R_1CJf9MOug2BVSOj,Default Response Set,1/11/17 14:31,1/11/17 14:39,,,,,1,0,14,1,0,NP,1,Yes,1,1,21,Male,United States,High school diploma,Yes,Mississippi,New Mexico,11 to 15,Indiana,1,American Revolution,Civil War,Civil Rights Movement,World War II,The Great Depression,Louisiana Purchase,Cold War,Vietnam,War on Terror,11-Sep,1,France,Howe Tariffs,The Bill of Rights,Alexander Hamilton,Theodore Roosevelt,France,Dred Scott v. Sanford,1861-1865,1919,19th,1929,Russia,Communism,1969,Iran,1,1,,,,,,,,12,,,,,,,,,,4,3,,,,,,7,1,1,,,,,23,,,,,,,5,,,,15,,,,,,,,Massachusetts,California,Texas,33,17,14,Montana,California,2,33,20,17,28,Texas,1,,,,,Arkansas,,,,,,,,,,,,,,,,,,,,Mississippi,,,,,,,New Mexico,,,,,,,,,,,,,,,,,,,,,No,,Somewhat Easy,,1,1
R_3PSs8nOw2oxAxiF,Default Response Set,1/11/17 14:34,1/11/17 14:44,,,,,1,0,6,1,0,P,1,Yes,1,1,32,Female,USA,Associate's Degree,Yes,Alaska,Alaska,More than 20,Tennessee,1,The Discovery of America.,The war with Great Britain.,Establishing a Fair Government.,The Writing of the Constitution.,The writing of the Declaration of Independence.,Becoming a Constitutional Republic.,Establishment of a 2 party voting system.,The forming of the Electoral College.,Being given the right to bear arms.,Free speech.,1,France,Tea Act,The Bill of Rights,John Tyler,William Taft,Spain,Marbury v. Madison,1766-1781,1913,19th,1930,Italy,Communism,1969,Iran,40,1,30,,,,11,,,,8,30,,,,,,,,,,61,,,,41,,,11,,,,,,,,,,,72,,,,50,,,,81,,,,,Delaware,Massachusetts,Virginia,20,50,30,California,Texas,25,20,15,30,10,Texas,1,,,Alaska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ohio,,,,,,,,,,,,Washington,,,,,No,,Very Easy,It was super easy! Thanks!,1,1
R_6MeHARAaOMohAlP,Default Response Set,1/11/17 14:29,1/11/17 14:45,,,,,1,0,10,1,0,NP,1,Yes,1,1,33,Female,American,Associate's Degree,Yes,Florida,Florida,More than 20,Florida,1,revolutionary war,bill of rights,Boston Tea Party,Signing of Declaration of Independence,Civil War,World War I,World War II,Vietnam War,9/11 attack,Pearl harbor,1,France,Townshend Tariffs,The Bill of Rights,Alexander Hamilton,Theodore Roosevelt,Spain,Plessy v. Ferguson,1861-1865,1913,19th,1930,Russia,Communism,1969,Iran,10,1,15,,4,,,3,25,15,,,,,,,10,,,,,,,,,20,4,,,,,,,,,,,,2,25,,,,,,,,,,,,,Virginia,Massachusetts,Delaware,50,25,15,Alaska,California,3,50,30,10,7,Alaska,1,,,,,,,,,,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Easy,"It was fun, I wish I could see the answers to the questions. I am curious how well I did.",1,1
R_1gpe2ZZTDcgxNtM,Default Response Set,1/11/17 14:35,1/11/17 14:47,,,,,1,0,9,1,0,NP,1,Yes,1,1,33,Female,UNITED STATES,Master's Degree,Yes,Pennsylvania,Florida,1 to 5,Virginia,1,ABOLITION OF SLAVERY,CIVIL WAR,ELECTION OF BARACK OBAMA,ELECTION OF DONALD TRUMP,ASSASINATION OF JFK,GREAT DEPRESSION,GOLD RUSH,DECLARATION OF INDEPENDENCE,HILLARY CLINTON PRESIDENTIAL CAMPAIGN,ASSASINATION OF ABRAHAM LINCOLN,1,France,Howe Tariffs,The Bill of Rights,William Henry Harrison,Theodore Roosevelt,Spain,Dred Scott v. Sanford,1861-1865,1913,19th,1929,Italy,Communism,1967,Kuwait,10,1,,,,1,,,,5,,4,,,,,1,,6,,,,,,,,,,,,,4,,,,,2,,,,3,,,,,,,50,,,1,,Virginia,Florida,California,50,10,10,Hawaii,California,10,50,10,10,20,Virginia,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Virginia,,,,,,No,,Somewhat Difficult,N/A,1,1
R_yOL0xDYUZlxxyxz,Default Response Set,1/11/17 14:34,1/11/17 14:49,,,,,1,0,13,1,0,P,1,Yes,1,1,27,Male,American,High school diploma,Yes,Florida,Florida,More than 20,Florida,1,The American Revolution,The signing of the Declaration of Independence,The drafting and writing of the U.S. constitution.,George Washington becoming the first president of the United States of America.,The American Civil War,Slavery is abolished.,Abraham Lincoln is assasinated,America fights in World War 2.,The Cold War era.,"The events that took place on September 11th, 2001.",1,France,Townshend Tariffs,The Bill of Rights,Alexander Hamilton,Theodore Roosevelt,France,Gibbons v. Odgen,1861-1865,1917,19th,1929,Russia,Communism,1969,Iran,2,1,5,,2,,,,15,,,,,,,,,2,,,,,10,,3,,,,,2,7,5,,,,1,,,,,,,,,,,,,,,,,New York,Virginia,Pennsylvania,30,25,25,Idaho,Montana,2,3,25,25,45,California,1,,,,,,,,,,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Difficult,None.,1,1
R_2YlB7nlRBFeIx3H,Default Response Set,1/11/17 14:35,1/11/17 14:57,,,,,1,0,13,1,0,P,1,Yes,1,1,41,Male,USA,Bachelor's Degree,Yes,Florida,Florida,More than 20,Florida,1,Italian Renaissance,Unification,Becomes a republic,Fall of the Roman Empire,Under Mussolini's Rule,Charles VIII invades,Founding member of EU,Losing side of WWI and WWII,Mazzini's Young Italy,Attempted fascist coup,1,France,Stamp Act,The Bill of Rights,Alexander Hamilton,Theodore Roosevelt,France,Dred Scott v. Sanford,1861-1865,1919,19th,1929,Russia,Communism,1969,Iran,26,1,,,4,,,,,19,,,,,12,,,12,6,,,26,33,,,,,,,,,,,,,,,,,,,,,13,,5,,24,,,,,Massachusetts,California,Texas,30,40,30,Maine,New York,5,30,20,20,25,California,1,,,,,,,,,,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Neutral,,1,1
R_271FYvT8avhJTVz,Default Response Set,1/11/17 14:45,1/11/17 14:59,,,,,1,0,7,1,0,NP,1,Yes,1,1,57,Male,aMERICAN,High school diploma,Yes,Illinois,Illinois,More than 20,Illinois,1,SPACE TRAVEL,SEGREGATION,walmart,mass production,electricty,cotton gin,womans rite to vote,magor league sports,alcohol,legalize pot,1,Britain,Tea Act,The Bill of Rights,John Tyler,Theodore Roosevelt,France,Marbury v. Madison,1766-1781,1914,19th,1929,Italy,Communism,1967,Iran,70,1,,,,4,,,,19,,,,,,,11,,,,,,,9,,,9,,,4,,4,,,,,,,,,,,1,,,3,,,,,,2,Illinois,Wisconsin,Iowa,72,19,7,Arizona,California,70,0,10,10,10,California,1,,,,,,,,,,,,,,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Difficult,I feel dumb,1,1
R_1IitAhx1BFHWjC5,Default Response Set,1/11/17 14:49,1/11/17 15:06,,,,,1,0,11,1,0,NP,1,Yes,1,1,64,Female,USA,Associate's Degree,Yes,Florida,Florida,More than 20,Florida,1,cession from england,president george washington,civil war,president lincoln,emancipation proclimation,entry into world war 2,vietnam war,civil rights/martin luther king,feminism,affordable care act,1,Britain,Howe Tariffs,The Bill of Rights,William Henry Harrison,Theodore Roosevelt,France,Dred Scott v. Sanford,1861-1865,1914,18th,1929,Russia,Communism,1969,Iran,5,1,,,,,,3,,,,,,3,,,6,,4,,,,12,8,,,,4,,,,,5,,,,,,,,,,6,,,,,,,,,5,New York,Massachusetts,California,12,11,9,Wyoming,California,10,12,11,9,58,Texas,1,,,,,,,,,,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Difficult,,1,1
R_1fei8EAGOILitYc,Default Response Set,1/11/17 14:47,1/11/17 15:07,,,,,1,0,11,1,0,P,1,Yes,1,1,46,Female,us,Associate's Degree,Yes,Pennsylvania,Florida,11 to 15,Arizona,1,bombing of Pearl Harbor,declaration and independance,emancipation,terrorist attack on the twin cities,assassination of Kennedy,Vietnam war,american revolution,moon landing,civil war,death of bin laden,1,France,Tea Act,The Bill of Rights,John Tyler,William Taft,France,Dred Scott v. Sanford,1861-1865,1917,19th,1929,Italy,Communism,1969,Iran,30,1,,,,,,,40,,,,,,40,,,2,,,,,,,,20,,,,,,,,,6,10,,4,,60,,,10,,,,,,50,,,,Massachusetts,Delaware,Washington,60,10,30,Alaska,California,10,50,10,20,10,California,1,,,,Arizona,,,,,,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Difficult,NONE,1,1
R_3q7DDdQL0gtIag5,Default Response Set,1/11/17 14:50,1/11/17 15:11,,,,,1,0,6,1,0,P,1,Yes,1,1,32,Female,American,High school diploma,Yes,Florida,Florida,More than 20,Indiana,1,boston tea party,attack on pearl harbor,attack on wtc,emancipation proclamation,bill of rights,the constitution,native americans,independence from britain,all the presidents,lgbt rights,1,Britain,Townshend Tariffs,The Bill of Rights,John Tyler,Warren G. Harding,France,Marbury v. Madison,1861-1865,1917,19th,1931,Russia,Totalitarianism,1967,Kuwait,11,1,,0,,1,18,,,,,,5,1,,,,,,,,,,,,,,,,,,,1,31,,,1,,,,,,5,,,,,,,,1,,Pennsylvania,New York,New Jersey,50,31,19,Wyoming,Florida,20,30,30,10,10,New York,1,,,,,,,,,,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Easy,,1,1
R_3kudxusKPHFAsXw,Default Response Set,1/11/17 14:59,1/11/17 15:12,,,,,1,0,10,1,0,P,1,Yes,1,1,32,Female,USA,Associate's Degree,Yes,Idaho,Idaho,More than 20,Idaho,1,American Revolutionary War,World War II,Independence of America,American Civil War,Moon landing - Apollo 11,11-Sep-01,Assassination of Abraham Lincoln,Death of Osama bin Laden,The Great depression,Barack Obama,1,France,Tea Act,The Bill of Rights,John Tyler,Theodore Roosevelt,France,Plessy v. Ferguson,1861-1865,1917,19th,1929,Japan,Communism,1969,Kuwait,7,1,26,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,45,,,,,,23,,,,56,,34,78,20,,8,,,,36,Texas,Mississippi,Missouri,11,18,21,Georgia,Florida,10,25,45,10,10,Florida,1,,,,,,,,,,,,,Idaho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Very Difficult,,1,1
R_2OTrPIp4KF3lNVU,Default Response Set,1/11/17 14:56,1/11/17 15:15,,,,,1,0,12,1,0,NP,1,Yes,1,1,27,Female,USA,Master's Degree,Yes,Virginia,Florida,6 to 10,Florida,1,Signing of the Constitution,American Revolution,Civil War,Vietnam War,911,Women's Right to Vote,Kennedy Assassination,Marriage Equality,March on Washington,Obama becoming President,1,France,Tea Act,The Bill of Rights,Alexander Hamilton,Theodore Roosevelt,France,Dred Scott v. Sanford,1861-1865,1919,19th,1929,Russia,Communism,1969,Iraq,6,1,3,,,,,,,,,,3,,,,,,,,,,,,,,,3,,2,,,,,,,,,2,,4,,3,,7,,,34,,2,,,Virginia,New York,Pennsylvania,35,36,27,Alaska,New York,5,30,25,10,30,Pennsylvania,1,,,,,,,,,,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Virginia,,,,,,No,,Neutral,n/a,1,1
R_3lxMxCN6YLt5zBL,Default Response Set,1/11/17 15:07,1/11/17 15:16,,,,,1,0,9,1,0,NP,1,Yes,1,1,22,Female,USA,High school diploma,Yes,Florida,Florida,More than 20,Florida,1,The aboriginals here before the colonials,The limestone underneath,The Everglands Discovery,The beautiful flowers discovered,The disocovery of the gulf of Mexico,The Mikosuki tribes discovery,The keys,The sun,The water,The breeze,1,France,Townshend Tariffs,The Bill of Rights,William Henry Harrison,Herbert Hoover,Germany,Dred Scott v. Sanford,1861-1865,1914,19th,1932,Russia,Communism,1969,Iran,4,1,,,,,8,,,,,,,4,,,,,,,,,4,4,,,,,,4,4,4,4,4,,,,,,,4,,,,,,,,,,,,Pennsylvania,New York,Connecticut,10,10,10,Alaska,California,4,10,10,10,66,New York,1,,,,,,,,,,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Neutral,it was fun thanks,1,1
R_1DvCOW4bRcLuhhN,Default Response Set,1/11/17 14:50,1/11/17 15:22,,,,,1,0,11,1,0,P,1,Yes,1,1,25,Male,American,Bachelor's Degree,Yes,Hawaii,Hawaii,16 to 20,Arizona,1,Assassination of Abraham Lincoln,Louisiana Purchase,Manhattan Project,Vietnam War,Death of Osama bin Laden,Assassination of John F. Kennedy,The American Revolution,The Civil War,11-Sep-01,Apollo 11,1,Britain,Stamp Act,The Bill of Rights,Alexander Hamilton,Theodore Roosevelt,France,Dred Scott v. Sanford,1861-1865,1917,19th,1929,Japan,Socialism,1969,Iran,27,1,,12,37,,,,,32,,,,,,,,27,,,,,,19,,,,,15,28,32,,,,,,,,,24,,,,,,23,,,,,,,Massachusetts,New York,Maryland,52,45,42,Vermont,New York,15,20,15,5,45,Delaware,1,,,,Arizona,,,,,,,,Hawaii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Neutral,I really liked this survey.,1,1
R_5nl65YJFeNU0fYJ,Default Response Set,1/11/17 15:18,1/11/17 15:28,,,,,1,0,10,1,0,P,1,Yes,1,1,24,Female,United States,Bachelor's Degree,Yes,Born Outside U.S.,Florida,More than 20,Florida,1,Signing of the Declaration of Independence,Civil War,Gettysburg Address,War of 1812,Cold War,World Wars,First man on moon,Independence from English,13 colonies,Division of North and South,1,France,Townshend Tariffs,The Bill of Rights,William Henry Harrison,Theodore Roosevelt,France,Plessy v. Ferguson,1861-1865,1914,18th,1929,Russia,Communism,1969,Iran,5,1,10,,,,,,16,20,,,4,,,,,,,10,,25,15,,,,,,,,,,,24,,,,,,,,,3,,,,14,,,,,,Pennsylvania,Massachusetts,New York,49,25,25,Alaska,New York,2,30,20,20,28,New York,1,,,,,,,,,,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Somewhat Difficult,,1,1
R_2akN0EWLecb4yEE,Default Response Set,1/11/17 15:14,1/11/17 15:36,,,,,1,0,8,1,0,NP,1,Yes,1,1,38,Female,US,Bachelor's Degree,Yes,Oregon,Oregon,16 to 20,Oregon,1,founding,the Constitution,Civil War,abolishment of slavery,women's suffrage,Prohibition,Civil Rights movement,War on Drugs,"anti-descrimination laws (race, disability, LGBTQ, gender, etc.)",Obama,1,France,Townshend Tariffs,The Bill of Rights,John Tyler,Theodore Roosevelt,France,Plessy v. Ferguson,1861-1865,1914,18th,1931,Russia,Communism,1967,Iran,4,1,,,,,,,,,1,,,,,1,,,,2,1,,5,,,4,,,,1,,,,,,,,,,,,,,1,4,,,,,,1,,New York,Massachusetts,Pennsylvania,5,5,5,Alaska,California,1,5,5,5,84,Texas,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,,,,,Oregon,,,,,,,,,,,,,,,No,,Somewhat Difficult,,1,1
R_ulCNmdRcwjYujzr,Default Response Set,1/11/17 15:26,1/11/17 15:46,,,,,1,0,5,1,0,P,1,Yes,1,1,26,Female,USA,High school diploma,Yes,Florida,Florida,More than 20,Florida,1,MLK contributions,First black president,The Norh Atlantic Treaty is signed,The Civil Rights Act was ammended,The Immigration and Nationality Act is signed,California tax revolt,Legalizing gay marriage,Legalizing marijuana in some states,Civil War,Terrorist Attacks on 9/11,1,Spain,Stamp Act,The Bill of Rights,John Tyler,William Taft,France,Marbury v. Madison,1861-1865,1914,21st,1929,Russia,Facism,1967,Saudi Arabia,28,1,2,8,,3,,,,2,,,,,,,,,,,,5,,,,,3,,,,,,13,,,3,,,,,,,,,,,,3,41,,,,New York,Virginia,California,42,36,7,Connecticut,New York,15,40,30,10,5,Connecticut,1,,,,,,,,,,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Difficult,,1,1
R_1GwypOwjtMv3c7M,Default Response Set,1/11/17 16:39,1/11/17 16:53,,,,,1,0,6,1,0,P,1,Yes,1,1,24,Male,U.S.,High school diploma,Yes,California,Oregon,11 to 15,California,1,Discovery of America,Revolutionary War,Declaration of Independence Signed,Civil War,Slavery Abolished,Winning side of WWI,Winning side of WWII,Vietnam War,Invaded Afghanistan,Trump Elected,1,France,Townshend Tariffs,The Bill of Rights,John Tyler,Herbert Hoover,France,Marbury v. Madison,1861-1865,1914,18th,1932,Russia,Communism,1967,Saudi Arabia,10,1,,5,,5,10,,,,,,,,,,5,,,,5,,,5,,,,5,,,,,5,,,,,,,,,,,,,,,,,,5,5,Delaware,Massachusetts,New Hampshire,15,15,10,Missouri,California,10,20,15,15,40,Iowa,1,,,,,,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oregon,,,,,,,,,,,,,,,No,,Difficult,I feel like I need to go brush up on my U.S. history now. I feel like I didn't know as much as I thought I knew about U.S. history.,1,1
R_4ZwgVs22ZJsDyHT,Default Response Set,1/11/17 17:13,1/11/17 17:30,,,,,1,0,11,1,0,NP,1,Yes,1,1,34,Male,USA,Associate's Degree,Yes,Montana,Montana,More than 20,Montana,1,Signing of the Declaration of Independence,Independence War,Lewis and Clark Expedition,Civil War,Abolishing slavery,WW1,WW2,Civil Rights Movement,Vietnam,Sept 11th,1,France,Tea Act,The Bill of Rights,John Tyler,Theodore Roosevelt,France,Plessy v. Ferguson,1861-1865,1917,18th,1929,Russia,Communism,1969,Iran,10,1,,,,10,,2,40,71,,,,,,,,,,,,,,,,,,,,,,,,50,,5,,19,2,,,,4,,,,,,,,,5,New Hampshire,Massachusetts,Delaware,30,40,100,Alaska,New York,5,30,30,30,5,Texas,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Montana,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Somewhat Difficult,Don't really have any.,1,1
R_3ehrzjAJmSWlQfx,Default Response Set,1/11/17 17:10,1/11/17 17:49,,,,,1,0,7,1,0,NP,1,Yes,1,1,36,Male,American,High school diploma,Yes,Oregon,Oregon,More than 20,Oregon,1,Columbus discovering America,Ellis Island immigration,Magna Carta,Declaration of Independance,Bill of Rights,Lewis and Clark & the Oregon Trail,California Gold Rush,Civil War,11-Sep,Trump becoming President-elect,1,France,Stamp Act,The Bill of Rights,John Tyler,Theodore Roosevelt,England,Marbury v. Madison,1861-1865,1914,19th,1930,Italy,Communism,1969,Kuwait,10,1,1,,,,,,3,5,,,,,3,1,,,3,,3,,,1,,,,,,,,,,,2,,,,,,,,,3,,,,,,,,,New York,Massachusetts,California,30,20,20,Alaska,California,10,30,20,20,20,West Virginia,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oregon,,,,,,,,,,,,,,,No,,Somewhat Difficult,I didn't realize how much U.S. history I had forgotten!,1,1
R_27edLnlRxPQctqu,Default Response Set,1/11/17 17:46,1/11/17 18:02,,,,,1,0,14,1,0,NP,1,Yes,1,1,30,Male,American,High school diploma,Yes,New York,Oregon,16 to 20,Oregon,1,Constitution/Bill of Rights,Victory in WWII,Creation of the internet,New Deal/Great Depression,Anti-war movement/Vietnam War,San Francisco Conference/Founding of the UN,Manifest Destiny/Opening the Frontier,Civil War,Moon Landing,Polio Eradicated,1,France,Townshend Tariffs,The Bill of Rights,Alexander Hamilton,Theodore Roosevelt,France,Dred Scott v. Sanford,1861-1865,1917,19th,1929,Russia,Communism,1969,Iran,2,1,,,,,,,,,,2,2,0,,,,,,,,,,3,1,,,,,,2,,,,,,,,,,2,3,,2,,,,,3,,,,New York,Virginia,California,6,5,5,Alaska,Michigan,2,6,5,5,82,Alabama,1,,,Alaska,,,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Neutral,,1,1
R_3ETfs426QOFUDKN,Default Response Set,1/11/17 18:21,1/11/17 18:41,,,,,1,0,14,1,0,NP,1,Yes,1,1,61,Female,US,Bachelor's Degree,Yes,Oregon,Oregon,6 to 10,North Carolina,1,Declaration of Independence,Constitution of US,Civil War,Columbus discovery,Mayflower landing,Revolutionary War,Louisiana Purchase,Louis and Clark Expidition,WWI,WWII,1,France,Townshend Tariffs,The Bill of Rights,Alexander Hamilton,Theodore Roosevelt,France,Dred Scott v. Sanford,1861-1865,1917,19th,1929,Russia,Communism,1969,Iran,3,1,,,,,,,,4,,,6,,6,,,3,,8,,,,,,,4,,,,,7,,,,,,,,,,6,,,,,,9,,,3,,New York,Pennsylvania,Virginia,12,12,12,Wyoming,Montana,3,12,12,12,61,Wyoming,1,,,,,,,,,,,,,,,,,,,,,,Massachusetts,Michigan,,,,,,,,,,,North Carolina,,,,Oregon,,,,,,,,,,,,,,,No,,Somewhat Difficult,,1,1
